Name,Phone,Link
De CakeSpot,081787 58260 ,"https://www.google.com/maps/place/De+CakeSpot/@28.7043286,77.4286431,17z/data=!3m1!4b1!4m6!3m5!1s0x390cf123d0b2a091:0xde79bae27387d131!8m2!3d28.7043286!4d77.4286431!16s%2Fg%2F11p5x7b0f1"
Cake shop Ghaziabad,083838 97887 ,https://www.google.com/maps/place/Cake+shop+Ghaziabad/data=!4m7!3m6!1s0x390cf17ae2c5023f:0xb0d3ae9f07f3ed0d!8m2!3d28.695348!4d77.449902!16s%2Fg%2F11b7f430nz!19sChIJPwLF4nrxDDkRDe3zB5-u07A
Cakes.com Bakery,098118 48539 ,https://www.google.com/maps/place/Cakes.com+Bakery/data=!4m7!3m6!1s0x390cf1037ea155fb:0x21cd4468e2fd6262!8m2!3d28.7034466!4d77.4311622!16s%2Fg%2F11vbrnklnb!19sChIJ-1WhfgPxDDkRYmL94mhEzSE
Sarthak Cake Hub,098181 94434 ,https://www.google.com/maps/place/Sarthak+Cake+Hub/data=!4m7!3m6!1s0x390cf194c0fae71f:0xafc0fe6fdc893c26!8m2!3d28.704136!4d77.4317349!16s%2Fg%2F11rmrf39xl!19sChIJH-f6wJTxDDkRJjyJ3G_-wK8
soni bake studio,081002 38100 ,https://www.google.com/maps/place/soni+bake+studio/data=!4m7!3m6!1s0x390cf11c623c74e1:0x2c5b4f12f206968b!8m2!3d28.7038126!4d77.4290689!16s%2Fg%2F11hbnv4298!19sChIJ4XQ8YhzxDDkRi5YG8hJPWyw
Cakology,099588 43439 ,https://www.google.com/maps/place/Cakology/data=!4m7!3m6!1s0x390cf163e7a69f6d:0x83270ec1d82e0a63!8m2!3d28.6965947!4d77.4363119!16s%2Fg%2F11rz3pz3tt!19sChIJbZ-m52PxDDkRYwou2MEOJ4M
Le Manda Chocolatier & Baker's,N/A,https://www.google.com/maps/place/Le+Manda+Chocolatier+%26+Baker%27s/data=!4m7!3m6!1s0x390cf1e6c74665bd:0xb12bb759c1c11d43!8m2!3d28.6984949!4d77.4326618!16s%2Fg%2F11ydzx6w0r!19sChIJvWVGx-bxDDkRQx3BwVm3K7E
Donalds pastry shop rajnagar extension,073033 68277 ,https://www.google.com/maps/place/Donalds+pastry+shop+rajnagar+extension/data=!4m7!3m6!1s0x390cf1edd1d6e6e3:0x8c0e25d0c1bf00c5!8m2!3d28.701448!4d77.4202758!16s%2Fg%2F11hz_v6x4w!19sChIJ4-bW0e3xDDkRxQC_wdAlDow
SHIVI'S HOME BAKE,N/A,"https://www.google.com/maps/place/SHIVI'S+HOME+BAKE/@28.7030317,77.4321775,17z/data=!3m1!4b1!4m6!3m5!1s0x390cf1003ab4687b:0x275aff7448bb8f0c!8m2!3d28.7030317!4d77.4321775!16s%2Fg%2F11mdv3n2v1"
Onkar Bakers & Stationers,087500 77000 ,https://www.google.com/maps/place/Onkar+Bakers+%26+Stationers/data=!4m7!3m6!1s0x390cf0e02e457f5d:0xb0f4132ee77cd291!8m2!3d28.7007226!4d77.4302678!16s%2Fg%2F11jz75mg9m!19sChIJXX9FLuDwDDkRkdJ85y4T9LA
Mr. Brown Bakery - Raj Nagar Extension,081308 11554,"https://www.google.com/maps/place/Mr.+Brown+Bakery+-+Raj+Nagar+Extension/@28.704768,77.4373376,12z/data=!4m3!3m2!1s0x390cf1241091a8db:0xe0d8eeeeb4770c77!16s%2Fg%2F11nxnsgws_"
Winni Cakes & More,078294 63510,"https://www.google.com/maps/place/23,+Ground+Floor,+Winni+Cakes+%26+More,+Vvip+Style+Mall,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201001/@28.697045,77.4285717,17z/data=!4m6!3m5!1s0x390cf123085bab4b:0x32dab3a038b06cba!8m2!3d28.697045!4d77.4285717!16s%2Fg%2F11fp52pn7r"
Unorthodox Gateau,099990 28705,"https://www.google.com/maps/place/Unorthodox+Gateau,+Fortune+Residency,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201017/@28.6999424,77.4288189,17z/data=!4m6!3m5!1s0x390cf1ec93c3f281:0x5f9f1de3b03d3e56!8m2!3d28.6999424!4d77.4288189!16s%2Fg%2F11fgm1ttdn"
Sprinklers Vegan Bakery,093192 74714,"https://www.google.com/maps/place/Sprinklers+Vegan+Bakery,+Ajnara+Integrity,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201017/@28.7047525,77.4232228,17z/data=!4m6!3m5!1s0x390cf10000055e67:0x5a0ed1ea75ad5ee9!8m2!3d28.7047525!4d77.4232228!16s%2Fg%2F11y67wdlwb"
NAND CAKE N BAKES,090136 66416,"https://www.google.com/maps/place/NAND+CAKE+N+BAKES,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201017/@28.7047144,77.4316946,17z/data=!4m6!3m5!1s0x390cf11baaaaaaab:0x7a6beeea7cb2c2d!8m2!3d28.7047144!4d77.4316946!16s%2Fg%2F11tn5wgdff"
