Name,Phone,Link
Donald’s pastry shop harmony point mall,092207 50703,"https://www.google.com/maps/place/Shop+no.3,+Donald%E2%80%99s+pastry+shop+harmony+point+mall,+harmony+point+mall,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201017/@28.7030425,77.430373,17z/data=!4m6!3m5!1s0x390cf10005ee8995:0x41195000ea49516e!8m2!3d28.7030425!4d77.430373!16s%2Fg%2F11w270qwsc"
Crave Bakes,N/A,"https://www.google.com/maps/place/Shop+No-10,+Crave+Bakes,+CLUB+HOUSE,+VVIP+ADDRESSES,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201017/@28.7000478,77.4326715,17z/data=!4m6!3m5!1s0x390cf100142b208f:0xe50f0d56787f2f89!8m2!3d28.7000478!4d77.4326715!16s%2Fg%2F11wbfphmj_"
Cake & Bake,098999 16333,"https://www.google.com/maps/place/Cake+%26+Bake,+Shop+No.+CS08,+KW+Srishti,+Raj+Nagar+Extension,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201017/@28.7022168,77.4292789,17z/data=!4m6!3m5!1s0x390cf11ca2fdf423:0xe2d27c591ff41752!8m2!3d28.7022168!4d77.4292789!16s%2Fg%2F11dfw_m53t"
Bakery shop,N/A,"https://www.google.com/maps/place/Bakery+shop,+B-26,+HIG+b+block,+Sector+23,+Sanjay+Nagar,+Ghaziabad,+Uttar+Pradesh+201001/@28.6953724,77.4502443,17z/data=!4m6!3m5!1s0x390cf127a6b9db6b:0xe963aeda17bc2938!8m2!3d28.6953724!4d77.4502443!16s%2Fg%2F11g4lt88fc"
TAKE THE CAKE BAKE WITH LOVE (Home made bakery),098913 93993,"https://www.google.com/maps/place/TAKE+THE+CAKE+BAKE+WITH+LOVE+(Home+made+bakery),+E-405,+Ajnara+Integrity,+Raj+Nagar+Extension,+Ghaziabad,+Uttar+Pradesh+201017/@28.7025544,77.4210812,17z/data=!4m6!3m5!1s0x390cf1e0d9670181:0x610eef0874e8b314!8m2!3d28.7025544!4d77.4210812!16s%2Fg%2F11s5ftp5l9"
Dolphin Bakery (100% Eggless Cake),095555 52323 ,https://www.google.com/maps/place/Dolphin+Bakery+%28100%25+Eggless+Cake%29/data=!4m7!3m6!1s0x390cf1cbebd94567:0x6af2945a070bb934!8m2!3d28.6899189!4d77.4528722!16s%2Fg%2F11bzt89p5w!19sChIJZ0XZ68vxDDkRNLkLB1qU8mo
Bakingo,088825 53333 ,https://www.google.com/maps/place/Bakingo/data=!4m7!3m6!1s0x390cf107de9149df:0xb628a0c3a40db202!8m2!3d28.694104!4d77.459696!16s%2Fg%2F11qb5sj68j!19sChIJ30mR3gfxDDkRArINpMOgKLY
Lalit Bakery,099903 81817 ,https://www.google.com/maps/place/Lalit+Bakery/data=!4m7!3m6!1s0x390cf17961fcf2ed:0xa05cc210e5876f37!8m2!3d28.6980249!4d77.4622877!16s%2Fg%2F11t6s9r17m!19sChIJ7fL8YXnxDDkRN2-H5RDCXKA
Bake 'n Bun,080763 77100 ,https://www.google.com/maps/place/Bake+%27n+Bun/data=!4m7!3m6!1s0x390cf1b815cd39a7:0xd57a71f8cef33846!8m2!3d28.6932656!4d77.4546522!16s%2Fg%2F11ssjw2ln0!19sChIJpznNFbjxDDkRRjjzzvhxetU
Baba bakery,098710 44871 ,https://www.google.com/maps/place/Baba+bakery/data=!4m7!3m6!1s0x390cf14d5cfd5d4b:0xdf7ae46d5d0e3190!8m2!3d28.7000766!4d77.4233829!16s%2Fg%2F11j3745jlp!19sChIJS139XE3xDDkRkDEOXW3ket8
Bhanu T Point,095608 05546 ,https://www.google.com/maps/place/Bhanu+T+Point/data=!4m7!3m6!1s0x390cf1767fd29b3f:0xbfa76f61e6406f09!8m2!3d28.6940258!4d77.454884!16s%2Fg%2F11byp65tn5!19sChIJP5vSf3bxDDkRCW9A5mFvp78
MUSKAN DREAM CREAM,085889 49172 ,https://www.google.com/maps/place/MUSKAN+DREAM+CREAM/data=!4m7!3m6!1s0x390cf13b8e6e2a0f:0xcc314da76db710d9!8m2!3d28.6864612!4d77.4090058!16s%2Fg%2F11hy9lg_63!19sChIJDypujjvxDDkR2RC3badNMcw
White House Cakes,N/A,https://www.google.com/maps/place/White+House+Cakes/data=!4m7!3m6!1s0x390cf16a19a9d79f:0x38b246bc0da7b47c!8m2!3d28.7098566!4d77.4229712!16s%2Fg%2F11l5r0s4y6!19sChIJn9epGWrxDDkRfLSnDbxGsjg
The Cake Corner,099589 12047 ,"https://www.google.com/maps/place/The+Cake+Corner/@28.7008807,77.4108544,17z/data=!3m1!4b1!4m6!3m5!1s0x390cf18b9bd34e89:0xd8e90239e3817101!8m2!3d28.7008807!4d77.4108544!16s%2Fg%2F11hgd7m64s"
Muskan Bakery Sec-10,092123 30112 ,https://www.google.com/maps/place/Muskan+Bakery+Sec-10/data=!4m7!3m6!1s0x390cf1980d224349:0xa60fc097c03c36b3!8m2!3d28.6812271!4d77.4474586!16s%2Fg%2F11b8v9ldzx!19sChIJSUMiDZjxDDkRszY8wJfAD6Y
Sakshi Home Bakery,099104 79652 ,https://www.google.com/maps/place/Sakshi+Home+Bakery/data=!4m7!3m6!1s0x390cf175fcd6b885:0xcb720201a82a796c!8m2!3d28.6921976!4d77.4527888!16s%2Fg%2F11dfgnm9x1!19sChIJhbjW_HXxDDkRbHkqqAECcss
My Kind Of Cakes,099997 27462 ,https://www.google.com/maps/place/My+Kind+Of+Cakes/data=!4m7!3m6!1s0x390cf1a293ae3461:0xeaa8b704bd731740!8m2!3d28.6814271!4d77.4460458!16s%2Fg%2F11bwyr2ch8!19sChIJYTSuk6LxDDkRQBdzvQS3qOo
Angels cakes and confectionery,097110 65561 ,https://www.google.com/maps/place/Angels+cakes+and+confectionery/data=!4m7!3m6!1s0x390cf1e5c55172d9:0xfb6704c9031acf70!8m2!3d28.6849575!4d77.4123269!16s%2Fg%2F11t9trmknh!19sChIJ2XJRxeXxDDkRcM8aA8kEZ_s
Ananyaa Bakers,097173 74343 ,https://www.google.com/maps/place/Ananyaa+Bakers/data=!4m7!3m6!1s0x390cf122fcb067e9:0x5d6304201220ccb1!8m2!3d28.7015305!4d77.4300372!16s%2Fg%2F11t29lbqxt!19sChIJ6Wew_CLxDDkRscwgEiAEY10
SHREE CAKES AND CHOCOLATES,087072 99067 ,https://www.google.com/maps/place/SHREE+CAKES+AND+CHOCOLATES/data=!4m7!3m6!1s0x390cf1c58ebc5373:0x49435835a8721978!8m2!3d28.7005705!4d77.4252537!16s%2Fg%2F11jzr6b_6s!19sChIJc1O8jsXxDDkReBlyqDVYQ0k
Milky Cakes,099711 36762 ,"https://www.google.com/maps/place/Milky+Cakes/@28.6881739,77.4103919,17z/data=!3m1!4b1!4m6!3m5!1s0x390cf1671a178e49:0x79029964aa278897!8m2!3d28.6881739!4d77.4103919!16s%2Fg%2F11s597r030"
